""	"NT1early"	"NT2early"	"NT1late"	"NT2late"
"b3955"	22.8157851371841	17.2930440334826	22.9170171271091	23.7492668900905
"b3956"	38.4902448254742	17.4774764352147	15.8708256002871	16.6549421971265
"b3957"	10.7968990534735	7.21650756451841	4.92410987823992	6.97164164381758
"b3958"	4.66785882135924	4.98209111442716	1.91967554332929	3.66641721358729
"b3959"	1.60155849123627	1.30411685063149	0.792716434138109	0.744893405809241
"b3960"	3.51032372824952	2.45828737846964	2.3080421587009	2.7330794596066
"b3961"	25.9942632602326	12.0364683131208	12.7458552772541	17.0273116783582
"b3962"	110.954704321258	72.2859153957106	100.801463968995	129.15102357633
"b3963"	136.739638997408	126.269752395863	167.942825372204	185.140638561236
"b3964"	366.074854614625	319.677141360196	419.340987099158	606.668444195682
"b3965"	68.9010423217613	42.6922145851136	37.4158498845594	57.2317648382741
"b3966"	25.3553537167628	14.7967913218459	14.3733046002535	14.216583733515
"b3967"	45.2437728385671	30.9028575158672	38.6960244545678	44.6852383069126
"b3968"	4.82261609788631	2.17997774116631	2.31213396093008	2.8605252623367
"b3969"	11872.8054145754	10111.1492316635	3827.01022310105	6085.22467125137
"b3970"	3.54101455547574	2.13469173586485	1.91453741851854	2.23162315312477
"b3971"	515.137648800484	501.958198354866	956.860518287895	875.481120232208
"b3972"	43.0375178959359	33.029119470338	50.8600643111167	63.1407250601513
"b3973"	18.1207416575035	9.9314213703381	6.90949048689481	10.2565325257394
"b3974"	147.90839568258	140.107124198485	87.9155795968451	134.132705287964
"b3976"	707.264321944441	775.776025199699	976.720857639796	921.020600346211
"b3977"	2338.44506387311	1750.73124619326	2416.9052690881	2709.90519145667
"b3978"	1103.12986970778	843.26809203535	881.107595689486	1121.63419475383
"b3979"	894.043598742238	772.540185847323	728.785531419026	767.656104094838
"b3980"	534.710066591096	386.871430072408	688.173482812542	768.601417107138
"b3981"	194.434637355411	87.1188670765524	111.318221948246	143.6884441126
"b3982"	223.108368405617	103.980347692735	124.760766483892	200.123418508123
"b3983"	1250.59249714955	653.40935129269	766.108582464076	854.018593047723
"b3984"	1627.62579180117	908.828139872839	1127.91404836734	1234.1631199119
"b3985"	2428.14513483958	1108.30654267795	1912.23785672117	2870.08083874761
"b3986"	1894.07455955932	969.189395259663	1377.05627048039	2164.10352408548
"b3987"	269.003942172338	78.3567626234787	103.29596983799	69.4461476934014
"b3988"	219.568622915643	73.1222736558437	119.816415636106	78.7130804951528
"b3989"	28.6792739441677	25.0797588784201	25.0892225138258	31.2385679962478
"b3990"	1.69955751620172	0.897048961204619	0.427544474572452	0.926656417869834
"b3991"	0.94919183659235	0.257704978588892	0.50046016110141	0.44018781312012
"b3992"	0.448921698301075	0.124105770250424	0.105127269043405	0.185596336800956
"b3993"	0.937611682612375	0.304927946015825	0.17702634397985	0.343647157769244
"b3994"	13.9167212614675	9.46321068867468	9.1545931134561	13.6480215215774
"b3995"	132.49438367203	123.421397390336	87.1795019401546	131.152897669695
"b3996"	10.4191594163831	3.97600253713917	5.21113427827949	5.66500446630824
"b3997"	24.0438747309182	10.4402747638695	14.1132382741344	13.5818508941035
"b3998"	23.5058003126739	9.60461042944946	7.31101051518894	7.62319693763231
"b3999"	148.467291965612	145.908111176893	127.81699396931	160.517992021968
"b4000"	2329.57802262117	2880.36127514438	3399.86440114174	4193.64916650664
"b4001"	31.2725827588559	14.6518754290334	10.7304416664108	21.867378230589
"b4002"	0.373127771816029	0.329368146998879	0.417307494195366	1.54170830085738
"b4003"	4.72475461128482	1.63443576012762	2.28331287313279	2.35828394300651
"b4004"	7.82464426179068	3.89164247889339	4.6151346799055	4.12678913592713
"b4005"	5.28884816974537	1.85415101437839	7.50591698474566	7.701183662482
"b4006"	8.7598784580451	3.34230988037117	10.3472216348036	10.0314928255249
"b4007"	1.91055279929486	2.12606607335836	1.50138048330423	1.62450264365759
"b4008"	1421.75864597731	1595.99497991434	531.235755547127	620.09079256584
"b4009"	7.38636991434754	4.34637826082404	3.55393796626215	4.83726620915528
"b4010"	55.7989262265133	31.8622511203041	39.1908642616839	44.8791286379584
"b4011"	51.896379152343	36.4265987235399	26.4909771355739	33.5849545541492
"b4012"	3.5671075486626	3.38104368682237	3.49050945999522	3.95019230353385
"b4013"	4.92219446131954	2.76304064631758	3.14764260650624	5.31977893381902
"b4014"	26.851748803699	13.8602927252534	18.7336537920246	26.7650129683893
"b4015"	31.9936116686956	19.4579699764614	38.0478890315642	32.6691155894686
"b4016"	8.23410783412335	4.74251231477165	9.52845242163879	10.6828482151389
"b4017"	6.1750879960318	4.44857386629213	1.19264113040655	2.27126815834517
"b4018"	176.509449285834	117.691023987992	47.680381687192	93.9831787302093
"b4019"	14.1652790001206	6.54211789334526	6.07956469542903	5.90032264705159
"b4020"	7.47652681361717	4.43824135433797	5.57599672973973	5.76030983556495
"b4021"	13.3447800862861	6.46447245553548	16.0180619710695	26.3480931478569
"b4022"	17.2289504740517	8.77947207640397	8.70075044129918	12.4883670336118
"b4023"	122.967815803205	102.11092509316	94.1187577200231	100.163803981374
"b4024"	11.9233603068766	5.74063650870363	6.8290673970596	5.93722681426257
"b4025"	70.6550069046409	48.4345701403378	42.9201980309547	52.5867625208921
"b4026"	1.96237568881023	0.721763532003717	2.85979748547352	2.39386241283041
"b4027"	0.0880976171918505	0.0310939809846691	0.247026110249159	0.0505827265691352
"b4028"	0.0437972388586415	0	0.0269228371940428	0
"b4029"	0.828014558388813	0.516356288174627	0.644284719720657	0.77694917293023
"b4030"	10.2971008999522	7.29718735896604	4.52198499018601	7.39634155431142
"b4031"	5.42856800895392	6.28648248480899	2.48348268969328	2.85776983552636
"b4032"	54.3059218066028	50.9450426097075	14.7178176660767	11.4169867789679
"b4033"	49.9828954066799	43.2220067739039	13.7851387988452	11.8056902482646
"b4034"	281.970401477111	273.155499286169	83.5333594380278	68.9775494525955
"b4035"	130.075658140664	189.129891612983	49.0176389682492	33.234687019386
"b4036"	253.854675248694	238.065185796939	86.9289626646363	36.2678908756042
"b4037"	119.153755048706	142.502662354516	40.0763808604634	28.5199665457623
"b4039"	25.8138109245677	11.4108205625937	9.83300780134162	14.0924344994723
"b4040"	34.3053937790781	25.1037415757979	27.6041067116226	36.2099316237898
"b4041"	36.0292998656289	23.2005292938147	29.6888255123001	26.6194072739574
"b4042"	52.7591537906131	35.7823441475101	49.3275032195345	65.6378770790763
"b4043"	241.919596538332	132.650181823221	84.2557473166057	156.003520910375
"b4044"	17.5002086220429	10.6976137753321	7.67642587820648	7.54188453145806
"b4045"	41.0186168904811	43.5164472806088	37.7512023134868	40.7569555614899
"b4046"	71.5490064094731	42.5014007856669	54.8033764341653	75.317576219074
"b4047"	0.155835716464342	0.206339456796357	0.126754361873245	0.14717484283815
"b4048"	1.08666171036219	1.45930903977201	0.371585886179879	1.02719371645161
"b4049"	36.9309457238202	26.4117165575949	23.4676878796952	28.5893455457148
"b4050"	10.8986293332561	9.97603774002389	8.10824365636105	9.81187844405114
"b4051"	9.1874181924671	5.20461922529021	5.22282073389299	6.86516797385274
"b4052"	52.8356126733421	26.7025490642898	23.5461589875984	25.3602715328387
"b4053"	42.3931723762315	26.0969613682592	18.893998428826	17.9610854939125
"b4054"	19.8597406826108	10.9230093626824	9.74386208237502	11.8315722669881
"b4055"	48.1977608779	31.2948176141141	27.1163795578834	52.7464124243156
"b4056"	29.7446710246815	24.4432245195238	17.4126750231746	23.0209630610796
"b4057"	15.3010622546988	9.93430189157514	12.6894797692393	12.0855967552152
"b4058"	19.2163212501049	5.79924778379157	7.91670840314566	7.65764455824778
"b4059"	258.297700039646	201.843792653866	172.686885241446	303.835885392754
"b4060"	53.699246513207	33.3969202997251	5.72189557499117	8.94022786403843
"b4061"	4.55201510337801	3.98471018251305	4.45707824216539	5.19424152426871
"b4062"	623.278898061809	359.885561471362	595.666328611953	879.450929788359
"b4063"	4.05926906596632	2.4893857045754	2.39811074963413	4.35827437823941
"b4064"	5.24024204305391	2.25182610290974	18.3833171601347	17.4061906487937
"b4065"	11.5870771437856	8.71141274290178	7.75495192659824	8.51431631271512
"b4066"	1.51922013047279	1.23739901991108	0.856243430201071	1.32153026375213
"b4067"	3.34763452732036	1.2755530056502	7.33619677150921	11.6114261233717
"b4068"	2.02540617048692	1.19845086709482	6.2917158175524	8.92712862907281
"b4069"	2.0624274041397	1.19734510348801	10.8524183862419	12.5072888194402
"b4070"	4.29622585062421	3.12651938524507	3.10787794427534	4.45221665932049
"b4071"	1.4367393435932	0.525856287602708	0.199520754800478	0.430233336868137
"b4072"	0.977332940722091	0.413938621858408	0.208795878901075	0.120246883473502
"b4073"	0.878141503886743	0.333334871318381	0.311427176319805	0.366538220014427
"b4074"	0.623744650894351	0.584491180428163	0.644721621655369	0.670685361998433
"b4075"	0.51742327732301	0.411066886586492	0.126259227647177	0.146599941108314
"b4076"	1.19440890042016	1.59751186727265	1.29264584324686	1.29939144834884
"b4077"	38.3612815616727	35.4160466555731	18.4779176588484	24.7599496578124
"b4078"	12.0992672782327	8.12743457272033	18.4112528937421	25.3978340507211
"b4079"	3.75551017820142	1.88616165465385	1.662765843428	2.46353420588719
"b4080"	1.08725791360494	0.731376215308107	0.585824020147802	0.85928570472353
"b4081"	0.362287686348236	0.246905163971897	0.280800468629095	0.239321592190706
"b4082"	0.135960107191398	0.0469801777291823	0.0181829384320389	0.11551775493723
"b4083"	0.270123088584339	0.158962421399006	0.341777244628009	0.255110471535917
"b4084"	1.73523887281754	0.961405831413076	1.01838506096266	1.14692253243371
"b4085"	1.60218606117798	0.970592713544697	1.71284946975893	1.38597264442955
"b4086"	0.893927310279832	0.29653543374016	0.267795203329356	0.9316783660177
"b4087"	1.06279348704155	0.423312192840536	0.263554813092608	0.722193578114798
"b4088"	4.81148524663183	2.14398978501021	2.45469001220879	3.6604384630703
"b4089"	25.574933115334	25.35668925262	28.1422513554376	36.6327799925159
"b4090"	5.4565323019481	3.95051094504946	4.16995388041425	6.18148341975222
"b4092"	1.75392174953444	0.531480419020919	0.511025490556164	0.716968354932886
"b4093"	1.16471125625364	0.822167745484286	0.403192042015869	1.07741207592258
"b4094"	0.492365733620534	0.302657942933293	0.356076233856695	0.534337840628558
"b4095"	0.0771277652932731	0.113711037036684	0.0165037752522992	0.104849888386299
"b4096"	0.0875288715823946	0.206036461999299	0.0711946305675714	0.16532856794594
"b4097"	0.0988921868872946	0	0.184862754442059	0
"b4098"	0.0764122039661404	0	0.0704576377631332	0
"b4099"	0.131747258799552	0	0.0704780937534804	0.0746255543632059
"b4100"	0.0679283892280464	0.0599618934280011	0.0552519013293631	0
"b4101"	0.0414233829180224	0	0	0
"b4102"	0	0	0	0.0483164017291744
"b4105"	0.258685159700447	0.0953462014090779	0.0184511233646648	0.390738522108231
"b4106"	0.176278044289512	0.111146095232511	0.102415596570587	0.214047062302633
"b4107"	0.591682645193914	0.93975254692179	0.790038460706771	1.05557264195118
"b4108"	8.27298558297695	7.31603515626251	12.7138290999368	14.0937218258226
"b4109"	51.1058122973749	36.7886196045166	99.6495506375442	96.7958975991483
"b4110"	83.9066301345206	41.7221198563145	92.6280211347775	104.796776103858
"b4111"	142.602434796681	66.2433990940513	28.5546076622476	35.8814780175015
"b4112"	5.72745155744558	3.16183316207235	2.43814397050666	2.58585665408255
"b4113"	8.25820471707391	4.37245707941675	7.15249936887198	7.5734061757054
"b4114"	1.19649411865642	0.810798595440671	0.74711056359595	1.26696591439594
"b4115"	1.13598519387967	0.593992641231796	1.33704266847863	1.37696162169478
"b4116"	4.66595780911354	3.47222537680163	21.198872413914	14.1093404151892
"b4117"	3.32526770101712	1.18287304631712	1.17486795837068	1.01623026741958
"b4118"	7.12575528585298	3.58880837398284	9.4406899721929	8.31926442478686
"b4119"	2.68463844955873	1.71436526574987	1.46157115230753	1.78774127642021
"b4120"	7.5237003614003	7.54814436581314	6.46931922094321	7.74571041054115
"b4121"	3.39641296345749	2.15482415184516	2.14454770992733	3.09074170987611
"b4122"	4.53598314954495	1.50150479034872	1.27562449790469	1.32162472712583
"b4123"	6.19895828531381	3.8967644760183	5.83320567274413	4.8206356864545
"b4124"	13.9390187322484	8.20959670206556	6.98176475534514	8.45275316417852
"b4125"	17.3561574336519	10.0512247891675	15.3728722558287	20.173420482923
"b4126"	6.19295184910241	6.90924544727194	4.7574039716062	9.42301266483221
"b4127"	1.58091658103617	3.78458168556258	1.73461191702432	3.49270947689188
"b4128"	4.3531801047377	5.05448955201728	10.9045649071387	9.38948740270289
"b4129"	69.7394741132666	41.041734710292	36.5653861015772	44.1883569136438
"b4130"	2.3984591752125	2.33370208681202	2.0617144662716	2.57404560519399
"b4131"	6.09768395641582	4.17176130632719	1.78001402906727	3.4308652696976
"b4132"	2.85695786424415	2.75498076593661	1.44366908117809	1.98379545167134
"b4133"	34.7358196665368	29.6445837264078	13.9608105060653	18.6683897764447
"b4134"	231.631338294663	149.541806320307	63.1561947136197	82.9601350945573
"b4135"	10.4574624657264	6.86448214581859	5.23729662910197	6.87411350523521
"b4136"	9.87944995413108	4.51990584034301	4.34123614726415	4.46218189255725
"b4137"	78.2263922934152	55.5868354214924	36.3671641517544	57.6143950848587
"b4138"	122.815779860515	38.1624983823707	48.6945573023535	57.144702082405
"b4139"	520.216981277484	345.627515009424	475.318805473606	576.23551705684
"b4140"	15.3819208323538	26.5932907845286	138.916760140658	177.263761642128
"b4141"	13.4506404851977	8.75558023512264	9.43464505640266	12.4556996286177
"b4142"	380.282877583226	349.822581107401	883.477902256516	1204.39331209312
"b4143"	357.567848587216	309.61704131136	446.042763464867	533.024602697545
"b4144"	33.7376069536774	31.592701432969	41.9270712580652	59.3051074343088
"b4145"	6.59218988695946	6.39016817443737	5.56473155765626	9.86601294581143
"b4146"	57.3479979904126	29.2484676076935	18.5798613092771	29.9981376091025
"b4147"	1599.57445160367	1345.6640861786	1889.92749764413	2040.3847474846
"b4148"	161.306883442371	145.397637188784	149.455272978915	150.01786921798
"b4149"	2.06919062012077	0.998724677119246	1.01906176291023	0.967407116253357
"b4150"	12.7729631887737	4.84097111822493	3.07832021692166	4.36852311281493
"b4151"	99.0364046598386	44.6501793444602	59.1449126300445	57.6864382316882
"b4152"	46.9327230042033	21.5131711557735	27.1443387182301	29.6743233953346
"b4153"	74.7369934535048	23.1093896284619	28.083362868096	30.1414898528734
"b4154"	116.281743008026	34.1857372009044	52.3697312525553	45.6931513513055
"b4155"	53.3779679232168	40.8961200393116	22.8650701741361	25.0514832377091
"b4156"	4.2257779025706	3.72049777354326	3.23880119298395	3.30239230421581
"b4157"	2.33851384369204	1.23132808676866	1.07227385496367	2.14459628848546
"b4158"	15.2014031036764	12.8618261403062	8.61929660738064	8.75690314886994
"b4159"	13.4300364821826	6.71865719810614	5.56663381113516	6.1795611394296
"b4160"	35.9248546677591	13.7104985170277	13.6356251906299	12.5975668359881
"b4161"	65.0753104508889	33.5194868064803	45.8516723688285	55.2484232388111
"b4162"	32.4964562039172	24.0275872950776	26.076924145269	35.0207390451274
"b4163"	5484.0105969798	5446.73510387246	2892.75700960655	2494.98866186835
"b4164"	330.878919105698	398.998744978585	369.407540643745	278.775466103288
"b4165"	411.239967380844	367.666870908581	440.972622853807	452.28240998845
"b4166"	35.2937140742432	17.8157830986538	13.0990626072693	21.8099561508509
"b4167"	10.8127873875858	7.49581876481582	6.74135531490681	6.72338543502075
"b4168"	6.92622048807373	3.89917765441333	3.26850236480405	4.59350933582365
"b4169"	34.4747276284197	19.8330787966914	24.6691105683251	29.4620350050971
"b4170"	31.3195637785335	13.903907390458	9.53229839899036	12.2560089293669
"b4171"	159.313285317656	170.589721008146	135.93994906825	178.401766136203
"b4172"	442.732680712847	540.170967470167	659.343942296872	667.327846123479
"b4173"	81.957516793563	52.6342292827752	53.2914246496969	75.7226548726088
"b4174"	117.795104963135	61.7061420778977	46.033713577216	61.3578928118097
"b4175"	112.458054724187	80.6031169584109	65.4609360275287	69.6458462809059
"b4176"	12.9779181872493	11.4673731711392	10.8376657359292	13.8184908945439
"b4177"	147.777332674419	48.5457496564655	113.585498943524	113.677296541402
"b4178"	2342.54279243251	1730.78844146073	904.532962190918	1314.15215565083
"b4179"	95.5990102449025	37.8423298331883	13.5096576780858	12.5080394563494
"b4180"	31.3950813926621	21.9691627593136	19.5704751711418	22.9778153289003
"b4181"	0.916208782043524	0.683433033234472	0.653500234990294	1.48276521262713
"b4182"	1.67707321473964	0.828014558388813	0.554890339530943	0.912736686270931
"b4183"	1.9902052611068	1.08376657359292	1.83360744562217	1.76303794241877
"b4184"	0.243025280283289	0.376236440338128	0.049797127441613	0.131871081411205
"b4185"	0.576394257248038	0.151748179707406	0.117463489589134	0.435315733785368
"b4186"	0.870551328444486	0.527371034337767	0.458177815791819	0.757684918992796
"b4187"	1.027101186412	0.47656402221337	0.604044166267317	0.596353547558624
"b4188"	8.08059056941935	9.11044271699201	17.0614701531205	11.8832089339786
"b4189"	186.177590783028	140.79816901261	93.1416062197984	86.2798611088143
"b4190"	6.46406551894089	3.85854784209187	3.16759150321239	5.12904327290953
"b4191"	9.87881931193377	6.91211793960389	8.09664019294169	8.5081350439918
"b4192"	2.21552342372812	1.67385472664516	2.16414107653297	2.35498225104199
"b4193"	0.7778318578804	0.520209693310259	0.483213539790493	0.696411758663072
"b4194"	0.584383936741281	0.458532126214126	0.475328857024668	0.797197065373313
"b4195"	0.726379063039903	0.38456233256523	0.452615582650073	0.451817967322372
"b4196"	1.41503429326237	0.74943871583482	1.4344785421084	0.996831937979326
"b4197"	1.4769561118055	0.567058987327674	0.680360896278115	0.464773189455054
"b4198"	2.77646167325115	0.765888813436258	0.870398401946189	0.92867968515776
"b4199"	1.15580243424526	1.22381853419007	0.699012290234034	1.52243010728191
"b4200"	905.434254409787	351.508157783102	603.497423480355	457.3389005675
"b4201"	320.933185596213	95.9409800940583	185.801230757315	165.512372381937
"b4202"	363.394537505171	121.541180033994	172.882108761525	192.915234783375
"b4203"	1285.4716827153	658.637058374599	868.991744315963	775.162074890432
"b4204"	8.45666836950554	9.46500852478934	6.32310770295409	7.94212248801071
"b4206"	28.6275814433192	18.2603642914578	32.8310453401629	37.3127771816029
"b4207"	135.179955737335	89.614787754044	138.710298663463	226.295540655234
"b4208"	29.8536825578702	17.3239025776495	15.5404423158303	24.4076153929807
"b4209"	1.12128858580178	0.962297049326367	1.58832557165579	1.9311256854018
"b4210"	11.5654760747813	7.24409051047325	8.4694094341333	12.7935315674996
"b4211"	2.49228550024853	1.46666373471975	0.694499073329886	1.24226849050669
"b4212"	5.8116680065616	2.97253561523518	2.62392301359146	3.26617046637948
"b4213"	10.6909871113923	7.39394600091972	15.4945913762308	18.3959480219447
"b4214"	20.3081465373256	15.0488731252344	27.0456118073831	35.608776669018
"b4215"	3.27976927223275	3.1005854477067	1.77273871916974	2.118283281105
"b4216"	14.4370565427315	13.5324366756738	18.6133061342515	29.5560339746329
"b4217"	758.248266765225	1004.23367580933	1743.9654076627	1132.73882522895
"b4218"	72.2564238422033	48.3392471563479	65.2160309444698	87.6810702229363
